file; time; heur; depth
j3010_2.sm;73;16;3
j3010_2.sm;73;16;4
j3010_2.sm;74;12;4
j3010_2.sm;74;15;1
j3010_2.sm;75;2;2
j3010_2.sm;75;2;3
j3010_2.sm;75;9;4
j3010_2.sm;75;10;2
j3010_2.sm;75;10;4
j3010_2.sm;76;9;2
j3010_2.sm;76;9;3
j3010_2.sm;76;10;3
j3010_2.sm;76;12;3
j3010_2.sm;76;15;0
j3010_2.sm;76;21;3
j3010_2.sm;77;2;1
j3010_2.sm;78;15;2
j3010_2.sm;78;15;4
j3010_2.sm;79;12;0
j3010_2.sm;79;12;1
j3010_2.sm;79;12;2
j3010_2.sm;79;21;0
j3010_2.sm;79;21;1
j3010_2.sm;79;21;2
j3010_2.sm;79;21;4
j3010_2.sm;80;9;0
j3010_2.sm;80;9;1
j3010_2.sm;80;10;0
j3010_2.sm;80;10;1
j3010_2.sm;80;15;3
j3010_3.sm;62; Optimal; Time
j3010_3.sm;73;12;1
j3010_3.sm;73;12;2
j3010_3.sm;73;12;3
j3010_3.sm;73;12;4
j3010_3.sm;73;21;1
j3010_3.sm;73;21;2
j3010_3.sm;73;21;3
j3010_3.sm;73;21;4
j3010_3.sm;75;3;4
j3010_3.sm;75;11;2
j3010_3.sm;76;2;0
j3010_3.sm;77;12;0
j3010_3.sm;77;16;0
j3010_3.sm;77;21;0
j3010_3.sm;78;3;1
j3010_3.sm;78;3;2
j3010_3.sm;78;3;3
j3010_3.sm;78;11;4
j3010_3.sm;79;11;0
j3010_3.sm;79;11;1
j3010_3.sm;79;16;1
j3010_3.sm;80;0;0
j3010_3.sm;80;0;1
j3010_3.sm;80;0;2
j3010_3.sm;80;11;3
j3010_3.sm;81;2;1
j3010_3.sm;81;2;2
j3010_3.sm;81;2;3
j3010_3.sm;81;2;4
j3010_3.sm;81;16;2
j3010_3.sm;81;16;3
j3010_3.sm;81;16;4
j3010_3.sm;82;9;4
j3010_3.sm;82;10;4
j3010_3.sm;83;3;0
j3010_3.sm;85;9;0
j3010_3.sm;85;9;3
j3010_3.sm;85;10;0
j3010_3.sm;85;10;3
j3010_3.sm;87;15;2
j3010_3.sm;88;9;1
j3010_3.sm;88;9;2
j3010_3.sm;88;10;1
j3010_3.sm;88;10;2
j3010_3.sm;88;15;0
j3010_3.sm;90;15;4
j3010_3.sm;91;15;1
j3010_3.sm;91;15;3
j3010_4.sm;58; Optimal; Time
j3010_4.sm;70;10;3
j3010_4.sm;71;9;4
j3010_4.sm;71;10;4
j3010_4.sm;74;0;0
j3010_4.sm;74;0;1
j3010_4.sm;74;0;2
j3010_4.sm;76;9;3
j3010_4.sm;77;2;3
j3010_4.sm;77;2;4
j3010_4.sm;77;16;1
j3010_4.sm;77;16;2
j3010_4.sm;77;16;3
j3010_4.sm;77;16;4
j3010_4.sm;79;11;3
j3010_4.sm;79;11;4
j3010_4.sm;79;12;3
j3010_4.sm;79;12;4
j3010_4.sm;79;16;0
j3010_4.sm;79;21;3
j3010_4.sm;79;21;4
j3010_4.sm;81;2;1
j3010_4.sm;81;2;2
j3010_4.sm;81;11;2
j3010_4.sm;81;12;2
j3010_4.sm;81;21;2
j3010_4.sm;82;2;0
j3010_4.sm;82;9;0
j3010_4.sm;82;9;1
j3010_4.sm;82;9;2
j3010_4.sm;82;10;0
j3010_4.sm;82;10;1
j3010_4.sm;82;10;2
j3010_4.sm;82;11;0
j3010_4.sm;83;11;1
j3010_4.sm;83;12;1
j3010_4.sm;83;21;1
j3010_4.sm;84;15;1
j3010_4.sm;85;12;0
j3010_4.sm;85;21;0
j3010_4.sm;86;3;3
j3010_4.sm;86;3;4
j3010_4.sm;87;3;0
j3010_4.sm;87;3;1
j3010_4.sm;87;3;2
j3010_4.sm;87;15;0
j3010_4.sm;88;15;2
j3010_4.sm;88;15;3
j3010_4.sm;89;15;4
j3010_5.sm;41; Optimal; Time
j3010_5.sm;47;11;4
j3010_5.sm;49;2;0
j3010_5.sm;50;3;4
j3010_5.sm;50;11;1
j3010_5.sm;50;11;2
j3010_5.sm;51;3;3
j3010_5.sm;52;9;3
j3010_5.sm;52;10;3
j3010_5.sm;52;11;3
